category,grade,kaisai_name,keirin_cd,meeting_icon,pos1_car_no,pos1_decision,pos1_name,pos1_region,pos2_car_no,pos2_decision,pos2_name,pos2_region,pos3_car_no,pos3_decision,pos3_name,pos3_region,quinella,quinella_payout,quinella_popularity,race_date,race_no,track,trifecta,trifecta_payout,trifecta_popularity,source_file,race_no_num,race_id
Ａ級チャレンジ一般,F2,,26.0,3,3.0,逃げ,清水　健次,東　京,1.0,差し,佐藤　純嘉,青　森,5.0,,笹川　竜治,新　潟,3-1,990円,(4),20240206,2R,西武園,3-1-5,"1,230円",(3),keirin_results_20240101_20240222.csv,2,26_20240206_02
Ａ級チャレンジ準決勝,F2,,26.0,3,7.0,差し,小林　和彦,群　馬,5.0,差し,村本　慎吾,静　岡,3.0,,野口　修平,神奈川,7-5,"17,870円",(41),20240206,3R,西武園,7-5-3,"95,160円",(196),keirin_results_20240101_20240222.csv,3,26_20240206_03
Ａ級チャレンジ準決勝,F2,,26.0,3,2.0,逃げ,稲毛　知也,和歌山,4.0,マーク,高峰　賢治,山　梨,7.0,,青木　亮太,群　馬,2-4,110円,(1),20240206,4R,西武園,2-4-7,140円,(1),keirin_results_20240101_20240222.csv,4,26_20240206_04
Ａ級チャレンジ準決勝,F2,,26.0,3,3.0,逃げ,吉田　晏生,埼　玉,5.0,マーク,木村　健司,埼　玉,6.0,,廣瀬　裕道,茨　城,3-5,120円,(1),20240206,5R,西武園,3-5-6,"4,560円",(11),keirin_results_20240101_20240222.csv,5,26_20240206_05
Ｌ級ガールズ予選（第２走）,F2,,26.0,3,3.0,捲り,當銘　直美,愛　知,1.0,マーク,小坂　知子,岐　阜,5.0,,荒牧　聖未,栃　木,3-1,"5,340円",(8),20240206,6R,西武園,3-1-5,"6,990円",(18),keirin_results_20240101_20240222.csv,6,26_20240206_06
Ｌ級ガールズ予選（第２走）,F2,,26.0,3,5.0,逃げ,熊谷　芽緯,岩　手,6.0,捲り,飯田　風音,埼　玉,4.0,,鈴木　奈央,静　岡,5-6,"2,130円",(6),20240206,7R,西武園,5-6-4,"3,910円",(11),keirin_results_20240101_20240222.csv,7,26_20240206_07
Ａ級特一般,F2,,26.0,3,3.0,捲り,田原　宥明,北海道,2.0,マーク,吉田　元輝,茨　城,5.0,,國廣　哲治,埼　玉,3-2,"3,320円",(13),20240206,8R,西武園,3-2-5,"9,380円",(33),keirin_results_20240101_20240222.csv,8,26_20240206_08
Ａ級特一般,F2,,26.0,3,5.0,差し,三住　博昭,神奈川,7.0,捲り,添田　龍児,神奈川,3.0,,泉谷　直哉,兵　庫,5-7,320円,(2),20240206,9R,西武園,5-7-3,620円,(2),keirin_results_20240101_20240222.csv,9,26_20240206_09
Ａ級準決勝,F2,,26.0,3,2.0,逃げ,猪狩　祐樹,福　島,5.0,マーク,木村　貴宏,茨　城,7.0,,宗景　祐樹,栃　木,2-5,200円,(1),20240206,10R,西武園,2-5-7,360円,(1),keirin_results_20240101_20240222.csv,10,26_20240206_10
Ａ級準決勝,F2,,26.0,3,4.0,逃げ,斉藤　樂,宮　城,7.0,マーク,成清　貴之,千　葉,3.0,,深澤　伸介,静　岡,4-7,760円,(4),20240206,11R,西武園,4-7-3,"1,490円",(3),keirin_results_20240101_20240222.csv,11,26_20240206_11
Ａ級準決勝,F2,,26.0,3,4.0,逃げ,山本　勝利,東　京,2.0,差し,台　和紀,埼　玉,7.0,,西谷　岳文,京　都,4-2,170円,(1),20240206,12R,西武園,4-2-7,"1,570円",(4),keirin_results_20240101_20240222.csv,12,26_20240206_12
Ａ級チャレンジ一般,F2,,26.0,3,4.0,差し,梶山　大輔,神奈川,5.0,逃げ,高田　隼人,千　葉,2.0,,海野　敦男,静　岡,4-5,530円,(2),20240207,1R,西武園,4-5-2,"1,000円",(4),keirin_results_20240101_20240222.csv,1,26_20240207_01
Ａ級チャレンジ一般,F2,,26.0,3,1.0,逃げ,山村　慮太,大　阪,4.0,差し,相良　勝美,福　島,5.0,,光岡　義洋,愛　知,1-4,500円,(3),20240207,2R,西武園,1-4-5,780円,(3),keirin_results_20240101_20240222.csv,2,26_20240207_02
Ａ級チャレンジ選抜,F2,,26.0,3,1.0,逃げ,菱沼　元樹,埼　玉,4.0,マーク,櫻井　紀幸,群　馬,5.0,,本間　慎吾,新　潟,1-4,490円,(2),20240207,3R,西武園,1-4-5,400円,(1),keirin_results_20240101_20240222.csv,3,26_20240207_03
Ａ級チャレンジ選抜,F2,,26.0,3,1.0,逃げ,長谷川裕一,愛　知,5.0,マーク,清水　健次,東　京,6.0,,乙川　高徳,東　京,1-5,780円,(3),20240207,4R,西武園,1-5-6,"3,060円",(4),keirin_results_20240101_20240222.csv,4,26_20240207_04
Ｌ級ガールズ一般,F2,,26.0,3,1.0,差し,小林真矢香,石　川,5.0,差し,鈴木　樹里,福　島,6.0,,戸邉香奈実,茨　城,1-5,670円,(3),20240207,5R,西武園,1-5-6,"5,190円",(21),keirin_results_20240101_20240222.csv,5,26_20240207_05
Ａ級特一般,F2,,26.0,3,3.0,捲り,深瀬　泰我,静　岡,6.0,差し,泉谷　直哉,兵　庫,2.0,,吉松　賢二,群　馬,3-6,760円,(3),20240207,6R,西武園,3-6-2,"5,730円",(26),keirin_results_20240101_20240222.csv,6,26_20240207_06
Ａ級特一般,F2,,26.0,3,2.0,逃げ,佐藤　啓斗,青　森,3.0,差し,金田健一郎,大　阪,7.0,,河野　淳吾,神奈川,2-3,"2,450円",(8),20240207,7R,西武園,2-3-7,"9,750円",(34),keirin_results_20240101_20240222.csv,7,26_20240207_07
Ａ級特選,F2,,26.0,3,3.0,差し,宗景　祐樹,栃　木,5.0,捲り,犬塚　貴之,愛　知,4.0,,佐藤　有輝,神奈川,3-5,"3,650円",(14),20240207,8R,西武園,3-5-4,"22,200円",(56),keirin_results_20240101_20240222.csv,8,26_20240207_08
Ａ級特選,F2,,26.0,3,1.0,捲り,太田　将成,宮　城,3.0,差し,三住　博昭,神奈川,7.0,,深澤　伸介,静　岡,1-3,780円,(3),20240207,9R,西武園,1-3-7,"3,260円",(7),keirin_results_20240101_20240222.csv,9,26_20240207_09
Ａ級チャレンジ決勝,F2,,26.0,3,7.0,逃げ,稲毛　知也,和歌山,2.0,マーク,村本　慎吾,静　岡,6.0,,廣瀬　裕道,茨　城,7-2,"1,080円",(4),20240207,10R,西武園,7-2-6,"3,440円",(11),keirin_results_20240101_20240222.csv,10,26_20240207_10
Ｌ級ガールズ決勝,F2,,26.0,3,1.0,差し,當銘　直美,愛　知,,,,,2.0,,熊谷　芽緯,岩　手,1-7,360円,(4),20240207,11R,西武園,1-7-2,"1,330円",(9),keirin_results_20240101_20240222.csv,11,26_20240207_11
Ａ級決勝,F2,,26.0,3,1.0,捲り,山本　勝利,東　京,5.0,差し,成清　貴之,千　葉,3.0,,木村　貴宏,茨　城,1-5,"5,620円",(18),20240207,12R,西武園,1-5-3,"32,110円",(83),keirin_results_20240101_20240222.csv,12,26_20240207_12
Ａ級予選,F1,,26.0,1,2.0,差し,伊早坂駿一,茨　城,4.0,逃げ,加藤　健一,神奈川,3.0,,野村　純宏,神奈川,2-4,"1,480円",(5),20240213,1R,西武園,2-4-3,"3,110円",(11),keirin_results_20240101_20240222.csv,1,26_20240213_01
Ａ級予選,F1,,26.0,1,1.0,逃げ,竹山　慶太,宮　城,5.0,マーク,宇佐見裕輝,福　島,4.0,,後藤　祐貴,兵　庫,1-5,570円,(2),20240213,2R,西武園,1-5-4,"2,480円",(6),keirin_results_20240101_20240222.csv,2,26_20240213_02
Ａ級予選,F1,,26.0,1,2.0,差し,松根　真,東　京,4.0,差し,中井　護,滋　賀,1.0,,丹波　孝佑,大　阪,2-4,"3,430円",(7),20240213,3R,西武園,2-4-1,"8,700円",(18),keirin_results_20240101_20240222.csv,3,26_20240213_03
Ａ級予選,F1,,26.0,1,1.0,逃げ,松崎　広太,茨　城,7.0,マーク,堀　政美,茨　城,2.0,,福森慎太郎,千　葉,1-7,140円,(1),20240213,4R,西武園,1-7-2,"2,200円",(5),keirin_results_20240101_20240222.csv,4,26_20240213_04
Ａ級初日特選,F1,,26.0,1,7.0,差し,田村　真広,群　馬,1.0,差し,伊豆田浩人,神奈川,5.0,,菊池竣太朗,静　岡,7-1,"30,560円",(40),20240213,5R,西武園,7-1-5,"205,920円",(184),keirin_results_20240101_20240222.csv,5,26_20240213_05
Ｓ級予選,F1,,26.0,1,5.0,逃げ,坂本　紘規,青　森,2.0,マーク,荻原　尚人,宮　城,6.0,,平沼　由充,福　島,5-2,530円,(2),20240213,6R,西武園,5-2-6,"1,900円",(5),keirin_results_20240101_20240222.csv,6,26_20240213_06
Ｓ級予選,F1,,26.0,1,4.0,捲り,一戸　康宏,埼　玉,1.0,マーク,柴田　洋輔,東　京,5.0,,福田　滉,栃　木,4-1,630円,(2),20240213,7R,西武園,4-1-5,"1,420円",(1),keirin_results_20240101_20240222.csv,7,26_20240213_07
Ｓ級予選,F1,,26.0,1,5.0,差し,佐藤　龍二,神奈川,1.0,逃げ,日高　裕太,静　岡,6.0,,山崎　将幸,宮　城,5-1,310円,(1),20240213,8R,西武園,5-1-6,"1,250円",(3),keirin_results_20240101_20240222.csv,8,26_20240213_08
Ｓ級予選,F1,,26.0,1,3.0,捲り,菅原　大也,神奈川,1.0,逃げ,堀江　省吾,長　野,4.0,,武藤　篤弘,埼　玉,3-1,950円,(4),20240213,9R,西武園,3-1-4,"2,210円",(6),keirin_results_20240101_20240222.csv,9,26_20240213_09
Ｓ級予選,F1,,26.0,1,2.0,逃げ,吉田　昌司,茨　城,7.0,マーク,岡田　征陽,東　京,1.0,,笠松　信幸,愛　知,2-7,"2,480円",(6),20240213,10R,西武園,2-7-1,"8,530円",(18),keirin_results_20240101_20240222.csv,10,26_20240213_10
Ｓ級予選,F1,,26.0,1,1.0,逃げ,稲毛　健太,和歌山,5.0,マーク,松村　友和,大　阪,3.0,,佐藤　康紀,青　森,1-5,320円,(1),20240213,11R,西武園,1-5-3,"1,570円",(3),keirin_results_20240101_20240222.csv,11,26_20240213_11
Ｓ級初日特選,F1,,26.0,1,6.0,差し,西村　光太,三　重,2.0,差し,横山　尚則,茨　城,7.0,,内藤　宣彦,秋　田,6-2,"29,010円",(41),20240213,12R,西武園,6-2-7,"139,950円",(188),keirin_results_20240101_20240222.csv,12,26_20240213_12
Ａ級一般,F1,,26.0,1,1.0,差し,井上　将志,兵　庫,4.0,逃げ,中村　泰輔,和歌山,6.0,,佐藤　謙,栃　木,1-4,210円,(1),20240214,1R,西武園,1-4-6,750円,(2),keirin_results_20240101_20240222.csv,1,26_20240214_01
Ａ級一般,F1,,26.0,1,4.0,差し,鮒田　博文,三　重,1.0,捲り,山崎　寛巳,新　潟,2.0,,植木　和広,神奈川,4-1,"4,180円",(16),20240214,2R,西武園,4-1-2,"27,340円",(90),keirin_results_20240101_20240222.csv,2,26_20240214_02
Ａ級準決勝,F1,,26.0,1,2.0,差し,田村　真広,群　馬,5.0,マーク,堀　政美,茨　城,1.0,,堺　文人,和歌山,2-5,"2,390円",(8),20240214,3R,西武園,2-5-1,"23,010円",(62),keirin_results_20240101_20240222.csv,3,26_20240214_03
Ａ級準決勝,F1,,26.0,1,2.0,逃げ,丹波　孝佑,大　阪,4.0,差し,野村　純宏,神奈川,6.0,,伊早坂駿一,茨　城,2-4,"19,840円",(33),20240214,4R,西武園,2-4-6,"138,770円",(169),keirin_results_20240101_20240222.csv,4,26_20240214_04
Ａ級準決勝,F1,,26.0,1,3.0,差し,竹山　慶太,宮　城,1.0,差し,片折　亮太,埼　玉,4.0,,宇佐見裕輝,福　島,3-1,"5,870円",(12),20240214,5R,西武園,3-1-4,"16,560円",(35),keirin_results_20240101_20240222.csv,5,26_20240214_05
Ｓ級一般,F1,,26.0,1,3.0,捲り,栗山　俊介,奈　良,4.0,マーク,表原　周,大　阪,5.0,,山中　秀将,千　葉,3-4,910円,(3),20240214,6R,西武園,3-4-5,"3,830円",(8),keirin_results_20240101_20240222.csv,6,26_20240214_06
Ｓ級一般,F1,,26.0,1,4.0,捲り,松岡　篤哉,岐　阜,1.0,マーク,松山　桂輔,愛　知,7.0,,舘　泰守,愛　知,4-1,200円,(1),20240214,7R,西武園,4-1-7,370円,(1),keirin_results_20240101_20240222.csv,7,26_20240214_07
Ｓ級選抜,F1,,26.0,1,2.0,差し,武藤　篤弘,埼　玉,5.0,逃げ,佐川　翔吾,大　阪,4.0,,福田　滉,栃　木,2-5,410円,(1),20240214,8R,西武園,2-5-4,980円,(1),keirin_results_20240101_20240222.csv,8,26_20240214_08
Ｓ級選抜,F1,,26.0,1,1.0,差し,伊藤　裕貴,三　重,5.0,マーク,松崎　貴久,富　山,6.0,,山崎　将幸,宮　城,1-5,"1,040円",(4),20240214,9R,西武園,1-5-6,"2,940円",(7),keirin_results_20240101_20240222.csv,9,26_20240214_09
Ｓ級準決勝,F1,,26.0,1,4.0,差し,横山　尚則,茨　城,2.0,捲り,堀江　省吾,長　野,3.0,,内藤　宣彦,秋　田,4-2,770円,(2),20240214,10R,西武園,4-2-3,"1,820円",(3),keirin_results_20240101_20240222.csv,10,26_20240214_10
Ｓ級準決勝,F1,,26.0,1,7.0,差し,松村　友和,大　阪,1.0,捲り,中井　太祐,奈　良,3.0,,佐藤　龍二,神奈川,7-1,"1,370円",(4),20240214,11R,西武園,7-1-3,"4,930円",(17),keirin_results_20240101_20240222.csv,11,26_20240214_11
Ｓ級準決勝,F1,,26.0,1,3.0,差し,笠松　信幸,愛　知,4.0,逃げ,黒沢　征治,埼　玉,1.0,,一戸　康宏,埼　玉,3-4,"4,530円",(22),20240214,12R,西武園,3-4-1,"16,570円",(74),keirin_results_20240101_20240222.csv,12,26_20240214_12
Ａ級一般,F1,,26.0,1,2.0,逃げ,田中　勝仁,千　葉,4.0,マーク,植木　和広,神奈川,3.0,,柳　充,青　森,2-4,240円,(1),20240215,1R,西武園,2-4-3,500円,(1),keirin_results_20240101_20240222.csv,1,26_20240215_01
Ａ級一般,F1,,26.0,1,5.0,逃げ,藤井　稜也,岐　阜,2.0,マーク,峠　祐介,埼　玉,6.0,,長崎　達也,神奈川,5-2,510円,(1),20240215,2R,西武園,5-2-6,"1,800円",(3),keirin_results_20240101_20240222.csv,2,26_20240215_02
Ａ級特選,F1,,26.0,1,5.0,逃げ,加藤　健一,神奈川,2.0,マーク,伊豆田浩人,神奈川,1.0,,加藤　寛治,愛　知,5-2,520円,(2),20240215,3R,西武園,5-2-1,"1,770円",(2),keirin_results_20240101_20240222.csv,3,26_20240215_03
Ａ級特選,F1,,26.0,1,4.0,捲り,松崎　広太,茨　城,1.0,マーク,荒木　貴大,埼　玉,2.0,,井上　将志,兵　庫,4-1,570円,(3),20240215,4R,西武園,4-1-2,"3,810円",(7),keirin_results_20240101_20240222.csv,4,26_20240215_04
Ｓ級一般,F1,,26.0,1,3.0,捲り,箱田　優樹,青　森,7.0,マーク,丸山　貴秀,秋　田,4.0,,金子　真也,群　馬,3-7,"1,030円",(4),20240215,5R,西武園,3-7-4,"3,770円",(10),keirin_results_20240101_20240222.csv,5,26_20240215_05
Ｓ級一般,F1,,26.0,1,4.0,捲り,長尾　拳太,岐　阜,3.0,マーク,舘　泰守,愛　知,6.0,,太田　剛司,愛　知,4-3,690円,(2),20240215,6R,西武園,4-3-6,"2,860円",(7),keirin_results_20240101_20240222.csv,6,26_20240215_06
Ｓ級一般,F1,,26.0,1,3.0,差し,志村　太賀,山　梨,5.0,逃げ,武田　亮,東　京,2.0,,勝瀬　卓也,神奈川,3-5,300円,(1),20240215,7R,西武園,3-5-2,610円,(1),keirin_results_20240101_20240222.csv,7,26_20240215_07
Ｓ級特選,F1,,26.0,1,4.0,差し,西村　光太,三　重,3.0,捲り,松岡　篤哉,岐　阜,6.0,,栗山　俊介,奈　良,4-3,600円,(2),20240215,8R,西武園,4-3-6,"2,450円",(5),keirin_results_20240101_20240222.csv,8,26_20240215_08
Ｓ級特選,F1,,26.0,1,5.0,差し,一戸　康宏,埼　玉,1.0,マーク,武藤　篤弘,埼　玉,2.0,,稲毛　健太,和歌山,5-1,"1,650円",(6),20240215,9R,西武園,5-1-2,"12,220円",(42),keirin_results_20240101_20240222.csv,9,26_20240215_09
Ｓ級特選,F1,,26.0,1,2.0,逃げ,野口　裕史,千　葉,5.0,マーク,佐藤　龍二,神奈川,1.0,,佐藤　康紀,青　森,2-5,330円,(1),20240215,10R,西武園,2-5-1,"1,930円",(5),keirin_results_20240101_20240222.csv,10,26_20240215_10
Ａ級決勝,F1,,26.0,1,1.0,捲り,片折　亮太,埼　玉,5.0,マーク,田村　真広,群　馬,4.0,,堀　政美,茨　城,1-5,320円,(1),20240215,11R,西武園,1-5-4,"1,700円",(4),keirin_results_20240101_20240222.csv,11,26_20240215_11
Ｓ級決勝,F1,,26.0,1,7.0,差し,中井　太祐,奈　良,2.0,差し,内藤　宣彦,秋　田,4.0,,笠松　信幸,愛　知,7-2,"11,840円",(34),20240215,12R,西武園,7-2-4,"68,780円",(130),keirin_results_20240101_20240222.csv,12,26_20240215_12
Ｌ級ガールズ予選（第１走）,F2,,26.0,5,2.0,差し,那須　萌美,宮　崎,1.0,捲り,尾崎　睦,神奈川,6.0,,藤巻絵里佳,福　島,2-1,560円,(3),20240219,1R,西武園,2-1-6,"7,940円",(17),keirin_results_20240101_20240222.csv,1,26_20240219_01
Ｌ級ガールズ予選（第１走）,F2,,26.0,5,1.0,捲り,鈴木　美教,静　岡,2.0,差し,廣木　まこ,福　岡,4.0,,國村美留莉,山　口,1-2,160円,(1),20240219,2R,西武園,1-2-4,"1,030円",(3),keirin_results_20240101_20240222.csv,2,26_20240219_02
Ａ級予選,F2,,26.0,5,1.0,差し,山内　大作,静　岡,2.0,逃げ,川田　忍,神奈川,5.0,,藤井　孝則,兵　庫,1-2,830円,(3),20240219,3R,西武園,1-2-5,"1,450円",(3),keirin_results_20240101_20240222.csv,3,26_20240219_03
Ａ級予選,F2,,26.0,5,6.0,差し,中島　将尊,群　馬,1.0,差し,山田　祥明,岐　阜,2.0,,中武三四郎,大　阪,6-1,"4,740円",(12),20240219,4R,西武園,6-1-2,"13,170円",(33),keirin_results_20240101_20240222.csv,4,26_20240219_04
Ａ級予選,F2,,26.0,5,2.0,逃げ,永井　哉多,東　京,3.0,マーク,佐藤　政利,新　潟,7.0,,佐藤　学,栃　木,2-3,230円,(1),20240219,5R,西武園,2-3-7,500円,(1),keirin_results_20240101_20240222.csv,5,26_20240219_05
Ａ級予選,F2,,26.0,5,1.0,差し,戸邉　捺希,埼　玉,4.0,捲り,小泉　俊也,岩　手,2.0,,梅山　英樹,群　馬,1-4,"1,620円",(3),20240219,6R,西武園,1-4-2,"4,000円",(10),keirin_results_20240101_20240222.csv,6,26_20240219_06
Ａ級予選,F2,,26.0,5,1.0,逃げ,原　大智,宮　城,4.0,マーク,坂本　昌宏,青　森,3.0,,中井　勇介,大　阪,1-4,140円,(1),20240219,7R,西武園,1-4-3,"1,120円",(4),keirin_results_20240101_20240222.csv,7,26_20240219_07
Ａ級予選,F2,,26.0,5,1.0,捲り,加藤　将武,埼　玉,7.0,逃げ,櫻井　利之,神奈川,2.0,,朝日　勇,愛　知,1-7,"2,890円",(8),20240219,8R,西武園,1-7-2,"10,400円",(28),keirin_results_20240101_20240222.csv,8,26_20240219_08
Ａ級初日特選,F2,,26.0,5,3.0,差し,落合　達彦,静　岡,4.0,捲り,磯川　勝裕,東　京,2.0,,内山　雅貴,静　岡,3-4,"7,640円",(24),20240219,9R,西武園,3-4-2,"22,000円",(74),keirin_results_20240101_20240222.csv,9,26_20240219_09
Ｌ級ガールズ予選（第２走）,F2,,26.0,5,3.0,逃げ,石井　貴子,東　京,6.0,マーク,三宅　玲奈,岡　山,1.0,,尾崎　睦,神奈川,3-6,"17,410円",(16),20240220,1R,西武園,3-6-1,"65,170円",(54),keirin_results_20240101_20240222.csv,1,26_20240220_01
Ｌ級ガールズ予選（第２走）,F2,,26.0,5,1.0,差し,鈴木　美教,静　岡,2.0,捲り,廣木　まこ,福　岡,4.0,,谷元　音羽,鹿児島,1-2,150円,(1),20240220,2R,西武園,1-2-4,930円,(4),keirin_results_20240101_20240222.csv,2,26_20240220_02
Ａ級一般,F2,,26.0,5,2.0,逃げ,坂木田雄介,千　葉,1.0,マーク,上野　真吾,神奈川,7.0,,中川　昌久,茨　城,2-1,390円,(2),20240220,3R,西武園,2-1-7,"11,970円",(18),keirin_results_20240101_20240222.csv,3,26_20240220_03
Ａ級一般,F2,,26.0,5,5.0,逃げ,阿久津浩之,東　京,2.0,マーク,山崎　晃,石　川,1.0,,南　大輔,京　都,5-2,"2,700円",(9),20240220,4R,西武園,5-2-1,"7,720円",(20),keirin_results_20240101_20240222.csv,4,26_20240220_04
Ａ級選抜,F2,,26.0,5,1.0,逃げ,中武三四郎,大　阪,2.0,マーク,武田　哲二,京　都,5.0,,藤井　孝則,兵　庫,1-2,210円,(1),20240220,5R,西武園,1-2-5,340円,(1),keirin_results_20240101_20240222.csv,5,26_20240220_05
Ａ級選抜,F2,,26.0,5,1.0,捲り,中井　勇介,大　阪,4.0,マーク,山本　隼人,大　阪,3.0,,手島　志誠,群　馬,1-4,570円,(2),20240220,6R,西武園,1-4-3,"2,890円",(9),keirin_results_20240101_20240222.csv,6,26_20240220_06
Ａ級準決勝,F2,,26.0,5,3.0,逃げ,原　大智,宮　城,1.0,捲り,北川大五郎,大　阪,5.0,,山内　大作,静　岡,3-1,"1,490円",(7),20240220,7R,西武園,3-1-5,"3,970円",(9),keirin_results_20240101_20240222.csv,7,26_20240220_07
Ａ級準決勝,F2,,26.0,5,1.0,差し,内山　雅貴,静　岡,3.0,マーク,小菅　誠,神奈川,5.0,,永井　哉多,東　京,1-3,360円,(1),20240220,8R,西武園,1-3-5,"4,280円",(16),keirin_results_20240101_20240222.csv,8,26_20240220_08
Ａ級準決勝,F2,,26.0,5,3.0,逃げ,加藤　将武,埼　玉,1.0,マーク,桑名　僚也,埼　玉,4.0,,山田　祥明,岐　阜,3-1,430円,(2),20240220,9R,西武園,3-1-4,"1,180円",(3),keirin_results_20240101_20240222.csv,9,26_20240220_09
Ｌ級ガールズ一般,F2,,26.0,5,1.0,逃げ,西島　叶子,熊　本,3.0,マーク,國村美留莉,山　口,4.0,,橋本　佳耶,熊　本,1-3,860円,(3),20240221,1R,西武園,1-3-4,"4,250円",(12),keirin_results_20240101_20240222.csv,1,26_20240221_01
Ａ級一般,F2,,26.0,5,1.0,差し,南　大輔,京　都,6.0,逃げ,山田　純也,岐　阜,2.0,,高橋　健太,静　岡,1-6,760円,(3),20240221,2R,西武園,1-6-2,"2,110円",(5),keirin_results_20240101_20240222.csv,2,26_20240221_02
Ａ級一般,F2,,26.0,5,5.0,差し,中村　賢二,愛　知,1.0,逃げ,山崎　晃,石　川,7.0,,中川　昌久,茨　城,5-1,560円,(2),20240221,3R,西武園,5-1-7,"10,670円",(27),keirin_results_20240101_20240222.csv,3,26_20240221_03
Ａ級一般,F2,,26.0,5,5.0,差し,浦崎　貴史,北海道,2.0,逃げ,樋口　開土,東　京,1.0,,上野　真吾,神奈川,5-2,"11,350円",(22),20240221,4R,西武園,5-2-1,"56,560円",(91),keirin_results_20240101_20240222.csv,4,26_20240221_04
Ａ級特選,F2,,26.0,5,1.0,差し,落合　達彦,静　岡,4.0,差し,武田　哲二,京　都,6.0,,坂木田雄介,千　葉,1-4,"1,900円",(7),20240221,5R,西武園,1-4-6,"14,580円",(62),keirin_results_20240101_20240222.csv,5,26_20240221_05
Ａ級特選,F2,,26.0,5,1.0,差し,伊藤　健詞,石　川,5.0,逃げ,中武三四郎,大　阪,2.0,,山田　祥明,岐　阜,1-5,480円,(2),20240221,6R,西武園,1-5-2,700円,(1),keirin_results_20240101_20240222.csv,6,26_20240221_06
Ａ級特選,F2,,26.0,5,6.0,逃げ,小泉　俊也,岩　手,5.0,マーク,坂本　昌宏,青　森,2.0,,戸邉　捺希,埼　玉,6-5,"11,680円",(20),20240221,7R,西武園,6-5-2,"64,130円",(74),keirin_results_20240101_20240222.csv,7,26_20240221_07
Ｌ級ガールズ決勝,F2,,26.0,5,1.0,捲り,鈴木　美教,静　岡,3.0,マーク,那須　萌美,宮　崎,2.0,,尾崎　睦,神奈川,1-3,390円,(2),20240221,8R,西武園,1-3-2,830円,(2),keirin_results_20240101_20240222.csv,8,26_20240221_08
Ａ級決勝,F2,,26.0,5,5.0,逃げ,加藤　将武,埼　玉,2.0,差し,内山　雅貴,静　岡,1.0,,桑名　僚也,埼　玉,5-2,"3,800円",(16),20240221,9R,西武園,5-2-1,"7,780円",(26),keirin_results_20240101_20240222.csv,9,26_20240221_09
Ａ級予選,F1,,26.0,1,1.0,逃げ,中山遼太郎,熊　本,4.0,マーク,伊藤　奎,福　島,7.0,,高比良　豪,福　岡,1-4,"1,870円",(9),20240226,1R,西武園,1-4-7,"6,350円",(26),keirin_results_20240223_20240331.csv,1,26_20240226_01
Ａ級予選,F1,,26.0,1,2.0,差し,平山　優太,福　島,7.0,逃げ,荒川　仁,千　葉,3.0,,芳野　匠,愛　媛,2-7,"2,420円",(7),20240226,2R,西武園,2-7-3,"12,100円",(29),keirin_results_20240223_20240331.csv,2,26_20240226_02
Ａ級予選,F1,,26.0,1,5.0,差し,今岡　徹二,広　島,4.0,差し,長野　和弘,福　岡,7.0,,緒方慎太朗,熊　本,5-4,"2,110円",(8),20240226,3R,西武園,5-4-7,"5,090円",(17),keirin_results_20240223_20240331.csv,3,26_20240226_03
Ａ級予選,F1,,26.0,1,5.0,差し,大槇　大介,岡　山,1.0,差し,小川　達也,静　岡,7.0,,須藤　直道,群　馬,5-1,"34,850円",(27),20240226,4R,西武園,5-1-7,"146,400円",(114),keirin_results_20240223_20240331.csv,4,26_20240226_04
Ａ級初日特選,F1,,26.0,1,2.0,捲り,藤田　周磨,埼　玉,7.0,マーク,大澤　雄大,埼　玉,4.0,,奥原　亨,神奈川,2-7,500円,(1),20240226,5R,西武園,2-7-4,"3,670円",(12),keirin_results_20240223_20240331.csv,5,26_20240226_05
Ｓ級予選,F1,,26.0,1,4.0,差し,佐藤　礼文,茨　城,2.0,逃げ,櫻井祐太郎,宮　城,1.0,,牧　剛央,大　分,4-2,170円,(1),20240226,6R,西武園,4-2-1,310円,(1),keirin_results_20240223_20240331.csv,6,26_20240226_06
Ｓ級予選,F1,,26.0,1,7.0,捲り,阿部　大樹,埼　玉,5.0,逃げ,星野　洋輝,福　島,3.0,,石丸　寛之,岡　山,7-5,"1,490円",(5),20240226,7R,西武園,7-5-3,"10,090円",(35),keirin_results_20240223_20240331.csv,7,26_20240226_07
Ｓ級予選,F1,,26.0,1,7.0,捲り,河村　雅章,東　京,1.0,差し,山賀　雅仁,千　葉,2.0,,飯嶋　則之,栃　木,7-1,690円,(3),20240226,8R,西武園,7-1-2,"2,080円",(6),keirin_results_20240223_20240331.csv,8,26_20240226_08
Ｓ級予選,F1,,26.0,1,5.0,差し,岸澤　賢太,埼　玉,4.0,逃げ,山口　多聞,埼　玉,2.0,,原　誠宏,香　川,5-4,320円,(1),20240226,9R,西武園,5-4-2,"9,150円",(29),keirin_results_20240223_20240331.csv,9,26_20240226_09
Ｓ級予選,F1,,26.0,1,1.0,差し,木村　隆弘,徳　島,4.0,差し,中田　雄喜,福　島,5.0,,坂本　亮馬,福　岡,1-4,"2,050円",(8),20240226,10R,西武園,1-4-5,"7,230円",(25),keirin_results_20240223_20240331.csv,10,26_20240226_10
